ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Project,Survey,Sampling Bout,Site ID,Source,Lat,Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Acidified,Acidification Method,Volume (ml),part,screen_size,Collected,Preserved,Analyzed,Lab Technician,filter_portion,Project Specific ID,Hakai ID,Weight Before (mg),Weight After (mg),Filter Size (mm),Filter Type,total_beam_n,ug N,%N,delta_air,corr_delta15n,total_beam_c,ug C,%C,delta_pdb,corr_delta13c,C:N,Analyzing Lab,C Flag,N Flag,C:N Flag,Sample Status,Quality Level,Comments,Quality Log
,4515,1,2014-11-25,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3450,,,2014-11-25 10:41:40,2014-11-25 15:30:40,,,1,,QF76,130.6,,47,,,6.012953024,,,9.285331332,,85.97802486,,,-26.73383806,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4515,1,2014-11-25,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,30,,FALSE,None,3450,,,2014-11-25 10:41:40,2014-11-25 15:30:40,,,1,,QF77,132.5,,47,,,28.6858999,,,8.912952443,,141.7921685,,,-25.0849244,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,4515,1,2014-11-25,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3450,,,2014-11-25 10:41:40,2014-11-25 15:30:40,,,1,,QF78,132,,47,,,2.995053902,,,5.769999139,,28.43865669,,,-23.38103626,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4515,1,2014-11-25,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3200,,,2014-11-25 10:41:40,2014-11-25 15:30:40,,,1,,QF80,131.9,,47,,,8.447492156,,,7.463134458,,93.74436822,,,-27.42733513,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,4515,1,2014-11-25,QUADRA,HAKAI,"FGS,OCEANOGRAPHY,OCEANOGRAPHY","B,QOMB,QOMA",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3550,,,2014-11-25 10:41:40,2014-11-25 15:30:40,,,1,,QF81,131.4,,47,,,32.64864353,,,5.788272195,,199.3445718,,,-25.36562907,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,3300,,,2014-12-02 09:30:23,2014-12-02 10:30:51,,,1,,QF89,132.6,,47,,,20.93242087,,,8.586494066,,165.0293507,,,-24.58670485,,UCDAVISSIF,,,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,3600,,,2014-12-02 09:30:23,2014-12-02 10:30:51,,,1,,QF90,131.5,,47,,,23.29076635,,,8.072248296,,132.9245915,,,-26.44254247,,UCDAVISSIF,,,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,3800,,,2014-12-02 09:30:23,2014-12-02 10:30:51,,,1,,QF91,130.6,,47,,,11.01691316,,,7.042657991,,78.39892022,,,-23.96608799,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,3650,,,2014-12-02 09:30:23,2014-12-02 10:30:51,,,1,,QF92,130.7,,47,,,13.01857234,,,6.841385561,,88.70048389,,,-24.62763686,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,13,1,2014-12-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,2900,,,2014-12-02 09:30:23,2014-12-02 10:30:51,,,1,,QF93,130,,47,,,18.58432057,,,6.456136594,,119.4895802,,,-26.4471913,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,21,1,2014-12-11,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,3000,,,2014-12-11 09:32:41,2014-12-11 10:42:28,,,1,,QF13,131.6,,47,,,10.31451299,,,6.545812701,,74.50583553,,,-25.26511391,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,21,1,2014-12-11,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3000,,,2014-12-11 09:32:41,2014-12-11 10:42:28,,,1,,QF37,132.9,,47,,,12.77873499,,,6.114793425,,93.11336157,,,-24.17496202,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,21,1,2014-12-11,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3000,,,2014-12-11 09:32:41,2014-12-11 10:42:28,,,1,,QF39,130.8,,47,,,15.2173002,,,5.885008364,,92.36003285,,,-22.99305432,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,21,1,2014-12-11,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3000,,,2014-12-11 09:32:41,2014-12-11 10:42:28,,,1,,QF40,131.2,,47,,,9.582729903,,,8.716561236,,64.4644595,,,-23.74313052,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,21,1,2014-12-11,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3000,,,2014-12-11 09:32:41,2014-12-11 10:42:28,,,1,,QF41,131.6,,47,,,17.97995978,,,6.262954148,,129.3189236,,,-24.20766793,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,3000,,,2014-12-16 08:30:51,2014-12-16 10:00:03,,"Bryn,Rebecca,Katie",1,,QF100,131.6,,47,,,14.87134759,,,5.548646808,,99.12021124,,,-24.03173772,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,3000,,,2014-12-16 08:30:51,2014-12-16 10:00:03,,"Bryn,Rebecca,Katie",1,,QF101,131.1,,47,,,12.57699866,,,6.749895971,,88.76341788,,,-22.59965394,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,3000,,,2014-12-16 08:30:51,2014-12-16 10:00:03,,"Bryn,Rebecca,Katie",1,,QF97,130.4,,47,,,29.71254304,,,7.200868649,,169.3433201,,,-26.28191847,,UCDAVISSIF,,,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,3000,,,2014-12-16 08:30:51,2014-12-16 10:00:03,,"Bryn,Rebecca,Katie",1,,QF98,132,,47,,,15.88797967,,,6.455093687,,93.07293075,,,-26.31476702,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,29,1,2014-12-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,3000,,,2014-12-16 08:30:51,2014-12-16 10:00:03,,"Bryn,Rebecca,Katie",1,,QF99,132.5,,47,,,15.63812967,,,5.566732976,,108.8302594,,,-24.79266215,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,41,1,2015-01-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3250,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF104,130,,47,,,6.258730521,,,7.716122982,,38.59728633,,,-26.1100759,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,41,1,2015-01-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,3450,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF105,130.8,,47,,,3.501449938,,,6.494254591,,41.07305781,,,-25.59887602,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,41,1,2015-01-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3225,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF106,132.4,,47,,,4.695893763,,,10.78817158,,32.3205595,,,-22.70796868,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,41,1,2015-01-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3800,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF107,131.6,,47,,,5.36081584,,,7.042402302,,40.4995133,,,-22.4511185,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,41,1,2015-01-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3200,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF108,132.4,,47,,,6.467104576,,,7.196342005,,41.52498284,,,-26.61008549,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF120,131.5,,47,,,14.13265312,,,6.669739251,,95.64937915,,,-26.68081293,,UCDAVISSIF,SVC,SVC,,Results,Technicianmr,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP."
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF121,131.7,,47,,,10.57976298,,,7.995273734,,113.5873764,,,-27.3269011,,UCDAVISSIF,,SVC,,Results,Technicianmr,,"1: Checked by KP2: N: Precision decreases for samples containing less than 20ugN. Results checked by RP."
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF123,130,,47,,,27.43654303,,,6.924775189,,178.5575904,,,-27.18287946,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF124,130.6,,47,,,23.82771979,,,6.005799453,,93.99110127,,,-26.98987621,,UCDAVISSIF,SVC,,,Results,Technicianmr,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. Results checked by RP."
,81,1,2015-01-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,2000,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF125,131.8,,47,,,15.2582972,,,7.451103876,,87.2176961,,,-24.11039464,,UCDAVISSIF,SVC,SVC,,Results,Technicianmr,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP."
,93,1,2015-01-21,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF128,132.7,,47,,,16.62190443,,,6.377946202,,106.6526013,,,-25.53812203,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,93,1,2015-01-21,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,2500,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF129,132.6,,47,,,9.319767721,,,5.200529048,,138.4260296,,,-25.43632277,,UCDAVISSIF,,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,93,1,2015-01-21,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF130,131.3,,47,,,10.00887252,,,5.742511994,,73.52370543,,,-23.06679816,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,93,1,2015-01-21,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF131,131.9,,47,,,14.09867371,,,6.150628248,,93.17857992,,,-26.88545151,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,93,1,2015-01-21,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3000,,,2015-01-21 09:13:03,2015-01-21 15:48:39,,"Kate,Rebecca,Megan",1,,QF132,130.6,,47,,,7.829775032,,,5.79565985,,60.7868758,,,-23.40741524,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF169,38.9,,25,,,9.367788493,,,6.375137443,,71.58884142,,,-26.73397907,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF170,38.4,,25,,,7.245280899,,,8.520390576,,52.98519143,,,-22.93596803,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF171,37.8,,25,,,5.449583995,,,5.652658544,,41.99549855,,,-23.36948461,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF172,38.2,,25,,,7.228852341,,,6.337750166,,63.55954781,,,-26.83352917,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,149,1,2015-01-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,2000,,,2015-01-28 08:52:34,2015-01-28 13:12:45,,"Rebecca,Other",1,,QF173,37.8,,25,,,5.474400126,,,6.613675534,,39.06239145,,,-25.83598534,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,160,1,2015-02-03,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF177,38.1,,25,,,12.04138869,,,8.39379692,,90.39860891,,,-24.26392093,,UCDAVISSIF,SVC,SVC,,Results,Technicianmr,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP."
,160,1,2015-02-03,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF178,38.6,,25,,,35.46000867,,,6.003603706,,220.2676029,,,-28.30010781,,UCDAVISSIF,,,,Results,Technicianmr,,"1: Results checked by RP.2: Checked by KP"
,160,1,2015-02-03,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,2000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF194,38.1,,25,,,5.968434559,,,7.10608586,,48.04526074,,,-26.52497788,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,160,1,2015-02-03,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,1000,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF195,38.1,,25,,,42.72444221,,,13.07318402,,234.7442701,,,-21.84303656,,UCDAVISSIF,,,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,160,1,2015-02-03,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,1900,,,2015-02-03 09:00:43,2015-02-03 13:33:01,,"Kate,Katie,Other",1,,QF196,37.7,,25,,,14.61695517,,,6.086079655,,108.1044662,,,-25.57330632,,UCDAVISSIF,,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,1700,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF182,38.1,,25,,,3.316916894,,,5.731670191,,34.38500362,,,-23.71727525,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,240,,TRUE,Immersion,1700,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF183,37.9,,25,,,8.140166345,,,10.36332026,,65.97571061,,,-25.09055075,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,1800,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF184,37.5,,25,,,3.460519949,,,4.627965019,,29.97421234,,,-23.66836308,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,1000,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF186,38.1,,25,,,4.30489368,,,4.951140569,,30.26831575,,,-27.27003445,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,5,,TRUE,Immersion,1000,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF187,38.8,,25,,,15.07121729,,,3.633329311,,62.00236309,,,-27.18746876,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,1500,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,"Bryn,Katie,Rebecca",1,,QF188,38,,25,,,7.349060766,,,3.080992167,,42.907917,,,-25.63856469,,UCDAVISSIF,SVC,SVD,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
,173,1,2015-02-11,QUADRA,HAKAI,OCEANOGRAPHY,QOMA,1,QU24,M,50.03,-125.08,,30,,TRUE,Immersion,1500,,,2015-02-11 09:43:13,2015-02-11 09:43:11,,,1,,QF189,38.2,,25,,,11.73596545,,,4.35950589,,54.66454068,,,-25.71667978,,UCDAVISSIF,SVC,SVC,,Results,Technician,,"1: Results checked by RP.2: Checked by KP"
