ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Project,Survey,Sampling Bout,Site ID,Lat,Long,Gather Lat,Gather Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Volume (ml),Collected,Preserved,Analyzed,Lab Technician,Project Specific ID,Hakai ID,Blank,Solid Standard,Filter Size (mm),Filter Type,Volume of Acetone (ml),Flurometer Serial #,Calibration,Acid Ratio Correction Factor,Acidification Coefficient,Calibration Slope,Before Acid,After Acid,Acid Flag,Dilution Factor,Chla,Chla Flag,Chla Final,Phaeo,Phaeo Flag,Phaeo Final,Analyzing Lab,Sample Status,Quality Level,Comments,Quality Log
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,20,20.1404102,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:43:34,"emma.myers,eva.jordison,meagan.abele",,QCHL12116,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2079.47,1597.75,,1,0.0229948,,,0.033479578,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,20,20.1404102,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:44:17,"emma.myers,eva.jordison,meagan.abele",,QCHL12117,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4341.88,3302.85,,1,0.049597872,,,0.067145296,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,20,20.1404102,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:45:06,"emma.myers,eva.jordison,meagan.abele",,QCHL12118,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,10391.88,8545.99,,1,0.088113159,,,0.213955039,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,20,20.1404102,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:45:57,"emma.myers,eva.jordison,meagan.abele",,QCHL12119,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,16450.27,13146.73,,1,0.157693767,,,0.306993069,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,30,30.4734991,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:46:36,"emma.myers,eva.jordison,meagan.abele",,QCHL12120,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2533.12,2025,,1,0.024254998,,,0.04732104,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,30,30.4734991,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:47:37,"emma.myers,eva.jordison,meagan.abele",,QCHL12121,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4080.93,3094.89,,1,0.047068406,,,0.062324169,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,30,30.4734991,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:48:15,"emma.myers,eva.jordison,meagan.abele",,QCHL12122,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,9198.5,7457.43,,1,0.083109599,,,0.180482149,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332895,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,50.0315,-125.10048,,30,30.4734991,250,2021-01-06 10:22:00,2021-01-06 13:36:00,2021-01-16 12:49:00,"emma.myers,eva.jordison,meagan.abele",,QCHL12123,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,14828.39,12031.48,,1,0.133509893,,,0.291757103,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332896,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,3,QU39,50.0307,-125.0992,50.031095,-125.099012,,100,98.5779251,250,2021-01-06 11:09:00,2021-01-06 13:37:00,2021-01-16 14:28:23,"emma.myers,eva.jordison,meagan.abele",,QCHL12124,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,9673.54,8570.73,,1,0.052642397,,,0.250300267,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11332896,1,2021-01-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,3,QU39,50.0307,-125.0992,50.031095,-125.099012,,260,254.3115123,250,2021-01-06 11:09:00,2021-01-06 13:37:00,2021-01-16 14:27:54,"emma.myers,eva.jordison,meagan.abele",,QCHL12125,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,5093.21,4986.5,,1,0.005093779,,,0.171160005,,,HAKAI,Results,Technicianm,,"1: CHL metadata QCd by MA2: Event Metadata QCd by MA"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:18:00,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13413,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3999.31,2788.16,,1,0.057813983,,,0.040736854,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:16:18,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13414,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,17910.04,12635.57,,1,0.251775683,,,0.194843593,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 19:32:47,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13415,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4753.57,3222.95,,1,0.073063814,,,0.040855194,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:33:18,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13416,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6679.28,5101.63,,1,0.075308781,,,0.10501441,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:34:46,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13417,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4366.79,3097.98,,1,0.060566371,,,0.048935424,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:23:02,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13418,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4991.21,3517.76,,1,0.070334817,,,0.054004602,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:22:25,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13419,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6766.3,4880.05,,1,0.090039735,,,0.082451446,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:15:44,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13420,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,11107.87,7692.19,,1,0.163046745,,,0.108842875,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:29:28,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13421,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3995.95,2881.23,,1,0.053210918,,,0.048629589,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:18:38,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13422,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3896.06,2632.14,,1,0.060332948,,,0.032703177,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:25:43,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13423,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,5958.08,4534.94,,1,0.06793328,,,0.092359578,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:21:49,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13424,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,15253.88,10968.71,,1,0.204551662,,,0.183150462,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,20,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:30:04,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13425,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3278.51,2374.11,,1,0.043171338,,,0.040744408,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,20,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:34:00,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13426,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2940.59,1967.35,,1,0.046457401,,,0.023080929,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,20,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-10 15:11:04,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13427,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4683.26,3662.36,,1,0.04873244,,,0.080718037,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,20,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:16:52,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13428,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,13543.77,10146.55,,1,0.162165561,,,0.196476338,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,30,31.1352474,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:15:01,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13429,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,2646.38,1920.7,,1,0.034640178,,,0.033249252,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,30,31.1352474,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:17:25,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13430,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3475.17,2543.65,,1,0.044465905,,,0.045442434,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,30,31.1352474,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 19:33:27,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13431,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,5138.81,4268.56,,1,0.041541195,,,0.109336144,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,30,31.1352474,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:19:57,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13432,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,12490.96,9647.46,,1,0.135733857,,,0.205267112,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,100,95.6940113,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 19:35:17,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13433,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,8075.97,6023.11,,1,0.097992828,,,0.114901172,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,325,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:35:55,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13434,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4289.74,4068.16,,1,0.010577073,,,0.133216889,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11330328,1,2021-01-11,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-11 09:34:55,,2021-01-16 14:19:05,,,QCHL11760,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,11587.21,8811,,1,0.132521783,,,0.17891351,,,HAKAI,Results,Technicianm,,"1: Event metadata QC'd by EM.2: Sample metadata QC'd by EM."
,11330328,1,2021-01-11,QUADRA,HAKAI,BIOMARATHON,BIOWEEKLY,2,QU38,50.1172,-125.2226,,,,1,,250,2021-01-11 09:34:55,,2021-01-16 14:19:38,,,QCHL11761,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,20797.4,14445.95,,1,0.30318509,,,0.207424224,,,HAKAI,Results,Technicianm,,"1: Event metadata QC'd by EM.2: Sample metadata QC'd by EM."
